distribution k Trace stats.attr ratio
exponential 8 gwa-t4 bot_user_iat 0
gamma 8 gwa-t4 bot_user_iat 0.815950920245399
lognormal 8 gwa-t4 bot_user_iat 0.815950920245399
normal 8 gwa-t4 bot_user_iat 0.785276073619632
weibull 8 gwa-t4 bot_user_iat 0.773006134969325
combined 9 gwa-t4 bot_user_iat 0.852760736196319
exponential 9 gwa-t4 bot_user_iat 0
gamma 9 gwa-t4 bot_user_iat 0.840490797546012
lognormal 9 gwa-t4 bot_user_iat 0.834355828220859
normal 9 gwa-t4 bot_user_iat 0.822085889570552
weibull 9 gwa-t4 bot_user_iat 0.815950920245399
combined 10 gwa-t4 bot_user_iat 0.852760736196319
exponential 10 gwa-t4 bot_user_iat 0
gamma 10 gwa-t4 bot_user_iat 0.834355828220859
lognormal 10 gwa-t4 bot_user_iat 0.834355828220859
normal 10 gwa-t4 bot_user_iat 0.809815950920245
weibull 10 gwa-t4 bot_user_iat 0.815950920245399
combined 11 gwa-t4 bot_user_iat 0.858895705521472
exponential 11 gwa-t4 bot_user_iat 0
gamma 11 gwa-t4 bot_user_iat 0.834355828220859
lognormal 11 gwa-t4 bot_user_iat 0.840490797546012
normal 11 gwa-t4 bot_user_iat 0.828220858895706
weibull 11 gwa-t4 bot_user_iat 0.822085889570552
combined 12 gwa-t4 bot_user_iat 0.858895705521472
exponential 12 gwa-t4 bot_user_iat 0
gamma 12 gwa-t4 bot_user_iat 0.840490797546012
lognormal 12 gwa-t4 bot_user_iat 0.846625766871166
normal 12 gwa-t4 bot_user_iat 0.822085889570552
weibull 12 gwa-t4 bot_user_iat 0.822085889570552
combined 13 gwa-t4 bot_user_iat 0.852760736196319
exponential 13 gwa-t4 bot_user_iat 0
gamma 13 gwa-t4 bot_user_iat 0.840490797546012
lognormal 13 gwa-t4 bot_user_iat 0.846625766871166
normal 13 gwa-t4 bot_user_iat 0.828220858895706
weibull 13 gwa-t4 bot_user_iat 0.815950920245399
combined 14 gwa-t4 bot_user_iat 0.852760736196319
exponential 14 gwa-t4 bot_user_iat 0
gamma 14 gwa-t4 bot_user_iat 0.846625766871166
lognormal 14 gwa-t4 bot_user_iat 0.846625766871166
normal 14 gwa-t4 bot_user_iat 0.834355828220859
weibull 14 gwa-t4 bot_user_iat 0.815950920245399
combined 15 gwa-t4 bot_user_iat 0.858895705521472
exponential 15 gwa-t4 bot_user_iat 0
gamma 15 gwa-t4 bot_user_iat 0.846625766871166
lognormal 15 gwa-t4 bot_user_iat 0.852760736196319
normal 15 gwa-t4 bot_user_iat 0.840490797546012
weibull 15 gwa-t4 bot_user_iat 0.809815950920245
combined 16 gwa-t4 bot_user_iat 0.858895705521472
exponential 16 gwa-t4 bot_user_iat 0
gamma 16 gwa-t4 bot_user_iat 0.846625766871166
lognormal 16 gwa-t4 bot_user_iat 0.852760736196319
normal 16 gwa-t4 bot_user_iat 0.840490797546012
weibull 16 gwa-t4 bot_user_iat 0.815950920245399
combined 17 gwa-t4 bot_user_iat 0.858895705521472
exponential 17 gwa-t4 bot_user_iat 0
gamma 17 gwa-t4 bot_user_iat 0.846625766871166
lognormal 17 gwa-t4 bot_user_iat 0.852760736196319
normal 17 gwa-t4 bot_user_iat 0.840490797546012
weibull 17 gwa-t4 bot_user_iat 0.809815950920245
combined 18 gwa-t4 bot_user_iat 0.865030674846626
exponential 18 gwa-t4 bot_user_iat 0
gamma 18 gwa-t4 bot_user_iat 0.852760736196319
lognormal 18 gwa-t4 bot_user_iat 0.858895705521472
normal 18 gwa-t4 bot_user_iat 0.846625766871166
weibull 18 gwa-t4 bot_user_iat 0.822085889570552
combined 19 gwa-t4 bot_user_iat 0.865030674846626
exponential 19 gwa-t4 bot_user_iat 0
gamma 19 gwa-t4 bot_user_iat 0.852760736196319
lognormal 19 gwa-t4 bot_user_iat 0.852760736196319
normal 19 gwa-t4 bot_user_iat 0.852760736196319
weibull 19 gwa-t4 bot_user_iat 0.828220858895706
combined 20 gwa-t4 bot_user_iat 0.865030674846626
exponential 20 gwa-t4 bot_user_iat 0
gamma 20 gwa-t4 bot_user_iat 0.852760736196319
lognormal 20 gwa-t4 bot_user_iat 0.852760736196319
normal 20 gwa-t4 bot_user_iat 0.846625766871166
weibull 20 gwa-t4 bot_user_iat 0.815950920245399
combined 1 gwa-t10 bot_user_iat 0.671428571428571
exponential 1 gwa-t10 bot_user_iat 0
gamma 1 gwa-t10 bot_user_iat 0.671428571428571
lognormal 1 gwa-t10 bot_user_iat 0.657142857142857
normal 1 gwa-t10 bot_user_iat 0.664285714285714
weibull 1 gwa-t10 bot_user_iat 0.65
combined 2 gwa-t10 bot_user_iat 0.871428571428571
exponential 2 gwa-t10 bot_user_iat 0
gamma 2 gwa-t10 bot_user_iat 0.871428571428571
lognormal 2 gwa-t10 bot_user_iat 0.864285714285714
normal 2 gwa-t10 bot_user_iat 0.857142857142857
weibull 2 gwa-t10 bot_user_iat 0.7
combined 3 gwa-t10 bot_user_iat 0.842857142857143
exponential 3 gwa-t10 bot_user_iat 0
gamma 3 gwa-t10 bot_user_iat 0.835714285714286
lognormal 3 gwa-t10 bot_user_iat 0.842857142857143
normal 3 gwa-t10 bot_user_iat 0.814285714285714
weibull 3 gwa-t10 bot_user_iat 0.814285714285714
combined 4 gwa-t10 bot_user_iat 0.914285714285714
exponential 4 gwa-t10 bot_user_iat 0
gamma 4 gwa-t10 bot_user_iat 0.9
