Param1 Param2 Cluster distribution k Trace stats.attr Size Fraction
22.1347482055151 2.10412849975862 11 gamma 13 gwa-t1 bot_user_iat 3 0.0172413793103448
15.9915354598193 12.1145875311044 9 weibull 13 gwa-t1 bot_user_iat 1 0.00574712643678161
0.102892237715861 NA 11 exponential 14 gwa-t1 bot_user_iat 2 0.0114942528735632
0.120480733809514 NA 13 exponential 14 gwa-t1 bot_user_iat 1 0.00574712643678161
0.0865451401270934 NA 14 exponential 14 gwa-t1 bot_user_iat 1 0.00574712643678161
24.4200319266908 2.66980953289195 1 gamma 14 gwa-t1 bot_user_iat 40 0.229885057471264
35.8045255882187 3.47602845979059 2 gamma 14 gwa-t1 bot_user_iat 1 0.00574712643678161
18.0903369541545 1.88518552283391 3 gamma 14 gwa-t1 bot_user_iat 41 0.235632183908046
19.319721447685 1.94109633084986 4 gamma 14 gwa-t1 bot_user_iat 30 0.172413793103448
13.8399060120172 1.29219059795545 5 gamma 14 gwa-t1 bot_user_iat 13 0.0747126436781609
24.1537104988686 2.6927464954584 6 gamma 14 gwa-t1 bot_user_iat 34 0.195402298850575
13.4506490977536 1.1002169004808 7 gamma 14 gwa-t1 bot_user_iat 4 0.0229885057471264
23.234399245481 1.55740358627601 8 gamma 14 gwa-t1 bot_user_iat 1 0.00574712643678161
35.4985968946834 4.0366577305243 10 gamma 14 gwa-t1 bot_user_iat 2 0.0114942528735632
22.1347482055151 2.10412849975862 12 gamma 14 gwa-t1 bot_user_iat 3 0.0172413793103448
11.7454236629635 0.95603422670243 9 normal 14 gwa-t1 bot_user_iat 1 0.00574712643678161
0.0998191981140113 NA 11 exponential 15 gwa-t1 bot_user_iat 1 0.00574712643678161
0.120480733809514 NA 13 exponential 15 gwa-t1 bot_user_iat 1 0.00574712643678161
24.4200319266908 2.66980953289195 1 gamma 15 gwa-t1 bot_user_iat 40 0.229885057471264
35.8045255882187 3.47602845979059 2 gamma 15 gwa-t1 bot_user_iat 1 0.00574712643678161
18.0903369541545 1.88518552283391 3 gamma 15 gwa-t1 bot_user_iat 41 0.235632183908046
19.319721447685 1.94109633084986 4 gamma 15 gwa-t1 bot_user_iat 30 0.172413793103448
13.8399060120172 1.29219059795545 5 gamma 15 gwa-t1 bot_user_iat 13 0.0747126436781609
24.1537104988686 2.6927464954584 6 gamma 15 gwa-t1 bot_user_iat 34 0.195402298850575
13.4506490977536 1.1002169004808 7 gamma 15 gwa-t1 bot_user_iat 4 0.0229885057471264
23.234399245481 1.55740358627601 8 gamma 15 gwa-t1 bot_user_iat 1 0.00574712643678161
35.4985968946834 4.0366577305243 10 gamma 15 gwa-t1 bot_user_iat 2 0.0114942528735632
22.1347482055151 2.10412849975862 12 gamma 15 gwa-t1 bot_user_iat 3 0.0172413793103448
32.3497718261491 3.35515474842134 15 gamma 15 gwa-t1 bot_user_iat 1 0.00574712643678161
11.7454236629635 0.95603422670243 9 normal 15 gwa-t1 bot_user_iat 1 0.00574712643678161
8.45043914466891 12.2594864410155 14 weibull 15 gwa-t1 bot_user_iat 1 0.00574712643678161
0.0998191981140113 NA 12 exponential 16 gwa-t1 bot_user_iat 1 0.00574712643678161
